                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.5166,                  3.933,                 4.3994,                0.00072,                 0.0173,                0.00043,                0.00012,                 5.5484,                 4.5519,                   4.16,                  8e-05,                  8e-05,                  8e-05
                      1,                 4.4162,                   3.85,                 4.3218,                0.00072,                 0.0173,                0.00039,                0.00012,                 5.5477,                   4.55,                 4.1588,             0.00017982,             0.00017982,             0.00017982
                      2,                 4.5658,                 3.6623,                 4.2426,                0.00053,                0.01269,                0.00032,                0.00012,                 5.5444,                 4.5445,                 4.1568,             0.00027945,             0.00027945,             0.00027945
                      3,                 4.0407,                 3.5176,                 4.1683,                0.00068,                0.01615,                0.00047,                0.00012,                 5.5437,                  4.539,                 4.1531,             0.00037887,             0.00037887,             0.00037887
                      4,                 4.2515,                 3.4278,                  4.104,                0.00063,                0.01499,                0.00035,                0.00011,                 5.5426,                 4.5295,                 4.1476,              0.0004781,              0.0004781,              0.0004781
                      5,                 4.1902,                 3.5832,                 4.0589,                0.00063,                0.01499,                0.00034,                0.00012,                 5.5473,                 4.5025,                 4.1469,             0.00057713,             0.00057713,             0.00057713
                      6,                 4.1406,                  3.371,                  4.017,                0.00068,                0.01615,                0.00037,                0.00012,                 5.5588,                 4.5073,                 4.1487,             0.00067596,             0.00067596,             0.00067596
                      7,                 3.9383,                  3.135,                 3.8906,                0.00053,                0.01269,                0.00028,                 0.0001,                 5.5736,                 4.5591,                 4.1715,             0.00077459,             0.00077459,             0.00077459
                      8,                 3.9033,                 3.0631,                 3.7659,                0.00063,                0.01499,                0.00034,                 0.0001,                 5.6036,                 4.6123,                 4.2444,             0.00087303,             0.00087303,             0.00087303
                      9,                 3.6877,                 3.0144,                 3.7355,                0.00068,                0.01615,                0.00037,                0.00011,                  5.592,                 4.6325,                 4.2519,             0.00097127,             0.00097127,             0.00097127
                     10,                 3.9678,                 2.8009,                 3.6124,                0.00058,                0.01384,                0.00033,                 0.0001,                 5.5493,                 4.4701,                 4.2761,              0.0010693,              0.0010693,              0.0010693
                     11,                 3.6353,                 3.0794,                 3.5834,                0.00058,                0.01384,                0.00033,                0.00011,                 5.4864,                 4.4492,                 4.1795,              0.0011671,              0.0011671,              0.0011671
                     12,                  3.822,                 2.9407,                 3.4851,                0.00058,                0.01384,                0.00031,                0.00011,                 5.4319,                 4.2784,                 4.0794,              0.0012648,              0.0012648,              0.0012648
                     13,                 3.4654,                 2.9526,                 3.4008,                0.00102,                0.02422,                0.00053,                0.00015,                 5.2662,                 3.9803,                  4.128,              0.0013622,              0.0013622,              0.0013622
                     14,                 3.4997,                 3.0271,                 3.4116,                0.00111,                0.02307,                0.00059,                0.00018,                 5.0961,                 4.3466,                 4.2287,              0.0014595,              0.0014595,              0.0014595
                     15,                   3.71,                 2.8893,                 3.1911,                0.00167,                 0.0346,                0.00188,                0.00061,                 4.9257,                 4.1757,                 4.1238,              0.0015565,              0.0015565,              0.0015565
                     16,                 3.5497,                 2.8906,                 3.2191,                0.11789,                0.05688,                0.03001,                0.00965,                 3.9126,                 3.3864,                 3.3873,              0.0016534,              0.0016534,              0.0016534
                     17,                 3.3906,                 2.8133,                  2.959,                0.23663,                0.06459,                0.03612,                0.01092,                 4.0288,                 3.6111,                 3.2674,                0.00175,                0.00175,                0.00175
                     18,                 3.4981,                 2.8158,                 3.0414,                0.18037,                 0.0692,                0.02759,                0.00784,                 4.0052,                  4.315,                 3.1879,              0.0018465,              0.0018465,              0.0018465
                     19,                 3.4494,                 2.7864,                  2.979,                0.04468,                0.05652,                0.01104,                0.00305,                 3.8415,                 3.0539,                 3.0413,              0.0019428,              0.0019428,              0.0019428
                     20,                 3.4415,                 2.8247,                 2.8742,                0.04774,                0.07728,                0.02099,                0.00581,                 3.5131,                 2.8216,                 2.8776,              0.0019604,              0.0019604,              0.0019604
