                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.5166,                  3.933,                 4.3994,                0.00072,                 0.0173,                0.00043,                0.00012,                 5.5484,                 4.5519,                   4.16,                  8e-05,                  8e-05,                  8e-05
                      1,                 4.4134,                 3.8352,                 4.3315,                0.00063,                0.01499,                0.00034,                0.00013,                 5.5481,                 4.5487,                 4.1597,             0.00017822,             0.00017822,             0.00017822
                      2,                 4.5769,                  3.675,                 4.2602,                0.00058,                0.01384,                0.00032,                0.00011,                 5.5462,                  4.548,                  4.158,             0.00027446,             0.00027446,             0.00027446
                      3,                 4.0332,                 3.4929,                 4.1801,                0.00063,                0.01499,                0.00036,                0.00012,                 5.5447,                 4.5453,                 4.1561,             0.00036871,             0.00036871,             0.00036871
                      4,                 4.2685,                 3.4792,                 4.1408,                0.00063,                0.01499,                0.00037,                0.00012,                  5.545,                 4.5361,                 4.1525,             0.00046099,             0.00046099,             0.00046099
                      5,                 4.2021,                 3.6707,                 4.0647,                0.00058,                0.01384,                0.00034,                0.00012,                 5.5457,                  4.496,                 4.1489,             0.00055129,             0.00055129,             0.00055129
                      6,                 4.1858,                 3.4265,                 4.0396,                0.00068,                0.01615,                 0.0004,                0.00012,                 5.5455,                  4.487,                 4.1424,             0.00063961,             0.00063961,             0.00063961
                      7,                 4.0035,                   3.23,                 3.9046,                0.00072,                 0.0173,                0.00039,                0.00012,                 5.5481,                 4.5373,                 4.1496,             0.00072595,             0.00072595,             0.00072595
                      8,                 3.9033,                 3.1359,                 3.7994,                0.00068,                0.01615,                0.00037,                0.00013,                 5.5679,                 4.5039,                 4.1862,              0.0008103,              0.0008103,              0.0008103
                      9,                 3.6974,                 3.0814,                 3.7993,                0.00077,                0.01845,                0.00042,                0.00013,                 5.5842,                 4.4885,                 4.2137,             0.00089268,             0.00089268,             0.00089268
                     10,                 3.9909,                 2.9679,                  3.651,                0.00058,                0.01384,                0.00031,                0.00011,                 5.6224,                 4.3957,                 4.3142,             0.00097308,             0.00097308,             0.00097308
                     11,                 3.5304,                 3.0855,                 3.6229,                0.00073,                 0.0173,                0.00042,                0.00013,                 5.6301,                 4.5653,                  4.322,              0.0010515,              0.0010515,              0.0010515
                     12,                 3.8363,                 2.9365,                 3.5329,                0.00058,                0.01384,                0.00033,                0.00012,                 5.6081,                 4.3126,                 4.2991,              0.0011279,              0.0011279,              0.0011279
                     13,                 3.4031,                 2.9313,                 3.4591,                0.00087,                0.02076,                0.00049,                0.00014,                 5.4483,                 4.0431,                 4.1784,              0.0012024,              0.0012024,              0.0012024
