                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.5166,                  3.933,                 4.3994,                0.00072,                 0.0173,                0.00043,                0.00012,                 5.5484,                 4.5519,                   4.16,                  8e-05,                  8e-05,                  8e-05
                      1,                 4.4103,                 3.8445,                 4.3295,                0.00063,                0.01499,                0.00035,                0.00013,                 5.5469,                 4.5506,                 4.1597,             0.00017955,             0.00017955,             0.00017955
                      2,                 4.5711,                 3.6623,                 4.2685,                0.00072,                 0.0173,                 0.0004,                0.00012,                 5.5454,                 4.5495,                  4.158,             0.00027861,             0.00027861,             0.00027861
                      3,                 4.0735,                 3.5193,                 4.1891,                0.00068,                0.01615,                0.00038,                0.00011,                  5.545,                 4.5475,                 4.1558,             0.00037718,             0.00037718,             0.00037718
                      4,                 4.2575,                 3.4651,                 4.1268,                0.00072,                 0.0173,                0.00039,                0.00013,                  5.545,                 4.5124,                 4.1519,             0.00047525,             0.00047525,             0.00047525
                      5,                 4.1928,                 3.6465,                 4.0557,                0.00072,                 0.0173,                0.00039,                0.00012,                 5.5472,                 4.5024,                 4.1493,             0.00057282,             0.00057282,             0.00057282
                      6,                 4.1999,                  3.428,                 4.0364,                0.00068,                0.01615,                0.00037,                0.00011,                 5.5504,                 4.5057,                 4.1474,              0.0006699,              0.0006699,              0.0006699
                      7,                 3.9925,                 3.1887,                 3.9035,                0.00068,                0.01615,                0.00037,                0.00012,                 5.5526,                 4.5373,                 4.1576,             0.00076649,             0.00076649,             0.00076649
                      8,                 3.8683,                 3.1523,                 3.7922,                0.00063,                0.01499,                0.00034,                0.00012,                 5.5648,                 4.5935,                 4.1879,             0.00086258,             0.00086258,             0.00086258
                      9,                 3.6174,                 3.0502,                 3.7755,                0.00058,                0.01384,                0.00031,                0.00012,                  5.575,                 4.4899,                 4.2124,             0.00095817,             0.00095817,             0.00095817
                     10,                 4.0208,                  2.866,                 3.6361,                0.00058,                0.01384,                0.00032,                0.00012,                   5.59,                 4.5192,                 4.2839,              0.0010533,              0.0010533,              0.0010533
                     11,                 3.6571,                 3.0939,                 3.6044,                0.00073,                 0.0173,                 0.0004,                0.00013,                 5.5276,                 4.3256,                 4.1203,              0.0011479,              0.0011479,              0.0011479
                     12,                 3.8993,                 2.9319,                 3.5065,                0.00073,                 0.0173,                0.00042,                0.00012,                 5.4962,                 4.2943,                 4.0858,               0.001242,               0.001242,               0.001242
                     13,                 3.4524,                 2.9083,                 3.4283,                0.00121,                0.02884,                0.00067,                0.00017,                 5.3403,                 4.0218,                 4.0903,              0.0013356,              0.0013356,              0.0013356
